#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
     file_input|sr__Kiss__WELL512_6Block_5000000.txt|  7.81e+06  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.60084894|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.00000000|  FAILED  
  diehard_rank_32x32|   0|     40000|     100|0.00280191|   WEAK   
    diehard_rank_6x8|   0|    100000|     100|0.00017462|   WEAK   
   diehard_bitstream|   0|   2097152|     100|0.38034423|  PASSED  
        diehard_opso|   0|   2097152|     100|0.00000452|   WEAK   
        diehard_oqso|   0|   2097152|     100|0.00591489|  PASSED  
         diehard_dna|   0|   2097152|     100|0.24290979|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.72935866|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.00145694|   WEAK   
 diehard_parking_lot|   0|     12000|     100|0.30484250|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.97227953|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.14627514|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.00039504|   WEAK   
        diehard_sums|   0|       100|     100|0.91852923|  PASSED  
        diehard_runs|   0|    100000|     100|0.02868545|  PASSED  
        diehard_runs|   0|    100000|     100|0.15231242|  PASSED  
       diehard_craps|   0|    200000|     100|0.00000000|  FAILED  
       diehard_craps|   0|    200000|     100|0.00253729|   WEAK   
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
         sts_monobit|   1|    100000|     100|0.04284817|  PASSED  
            sts_runs|   2|    100000|     100|0.03743490|  PASSED  
          sts_serial|   1|    100000|     100|0.04284817|  PASSED  
          sts_serial|   2|    100000|     100|0.01028152|  PASSED  
          sts_serial|   3|    100000|     100|0.08442920|  PASSED  
          sts_serial|   3|    100000|     100|0.88024959|  PASSED  
          sts_serial|   4|    100000|     100|0.10093190|  PASSED  
          sts_serial|   4|    100000|     100|0.22426637|  PASSED  
          sts_serial|   5|    100000|     100|0.01558268|  PASSED  
          sts_serial|   5|    100000|     100|0.26851287|  PASSED  
          sts_serial|   6|    100000|     100|0.12506081|  PASSED  
          sts_serial|   6|    100000|     100|0.73559529|  PASSED  
          sts_serial|   7|    100000|     100|0.50312362|  PASSED  
          sts_serial|   7|    100000|     100|0.92915685|  PASSED  
          sts_serial|   8|    100000|     100|0.43050545|  PASSED  
          sts_serial|   8|    100000|     100|0.39447770|  PASSED  
          sts_serial|   9|    100000|     100|0.57622905|  PASSED  
          sts_serial|   9|    100000|     100|0.04571256|  PASSED  
          sts_serial|  10|    100000|     100|0.28952328|  PASSED  
          sts_serial|  10|    100000|     100|0.40746811|  PASSED  
          sts_serial|  11|    100000|     100|0.73021379|  PASSED  
          sts_serial|  11|    100000|     100|0.34483614|  PASSED  
          sts_serial|  12|    100000|     100|0.29314712|  PASSED  
          sts_serial|  12|    100000|     100|0.80084389|  PASSED  
          sts_serial|  13|    100000|     100|0.02483926|  PASSED  
          sts_serial|  13|    100000|     100|0.00167656|   WEAK   
          sts_serial|  14|    100000|     100|0.18219694|  PASSED  
          sts_serial|  14|    100000|     100|0.76152225|  PASSED  
          sts_serial|  15|    100000|     100|0.58706053|  PASSED  
          sts_serial|  15|    100000|     100|0.35020016|  PASSED  
          sts_serial|  16|    100000|     100|0.28453051|  PASSED  
          sts_serial|  16|    100000|     100|0.05002658|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.02824340|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.57928815|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.78271142|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.22754573|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.11236225|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.42942055|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.96476756|  PASSED  
