#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
     file_input|WichmannHill_0Block_10000000.txt|  7.79e+06  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.98925473|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.10152774|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.00017524|   WEAK   
    diehard_rank_6x8|   0|    100000|     100|0.25780449|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.53124538|  PASSED  
        diehard_opso|   0|   2097152|     100|0.18300541|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.43077805|  PASSED  
         diehard_dna|   0|   2097152|     100|0.21340157|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.94412662|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.10005891|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.24520972|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.02886863|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.19466569|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.00004554|   WEAK   
        diehard_sums|   0|       100|     100|0.17580017|  PASSED  
        diehard_runs|   0|    100000|     100|0.49695542|  PASSED  
        diehard_runs|   0|    100000|     100|0.89425165|  PASSED  
       diehard_craps|   0|    200000|     100|0.00213762|   WEAK   
       diehard_craps|   0|    200000|     100|0.00005220|   WEAK   
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
         sts_monobit|   1|    100000|     100|0.82496863|  PASSED  
            sts_runs|   2|    100000|     100|0.28732776|  PASSED  
          sts_serial|   1|    100000|     100|0.82496863|  PASSED  
          sts_serial|   2|    100000|     100|0.67144945|  PASSED  
          sts_serial|   3|    100000|     100|0.84265947|  PASSED  
          sts_serial|   3|    100000|     100|0.88163299|  PASSED  
          sts_serial|   4|    100000|     100|0.53302771|  PASSED  
          sts_serial|   4|    100000|     100|0.75162325|  PASSED  
          sts_serial|   5|    100000|     100|0.98725975|  PASSED  
          sts_serial|   5|    100000|     100|0.51177500|  PASSED  
          sts_serial|   6|    100000|     100|0.84727432|  PASSED  
          sts_serial|   6|    100000|     100|0.99822446|   WEAK   
          sts_serial|   7|    100000|     100|0.61128476|  PASSED  
          sts_serial|   7|    100000|     100|0.73362831|  PASSED  
          sts_serial|   8|    100000|     100|0.88880425|  PASSED  
          sts_serial|   8|    100000|     100|0.46411825|  PASSED  
          sts_serial|   9|    100000|     100|0.24116934|  PASSED  
