#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|./generated/sr__Keccak256__WELL512a_6Block_2Participant_4Polls_2000000000.bin|  4.29e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.61825982|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.58946921|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.52169802|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.99151024|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.59593074|  PASSED  
        diehard_opso|   0|   2097152|     100|0.09991336|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.90745375|  PASSED  
         diehard_dna|   0|   2097152|     100|0.52924980|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.62545037|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.83618668|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.22929020|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.73078177|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.95252054|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.23862363|  PASSED  
        diehard_sums|   0|       100|     100|0.63157684|  PASSED  
        diehard_runs|   0|    100000|     100|0.80304090|  PASSED  
        diehard_runs|   0|    100000|     100|0.97009446|  PASSED  
       diehard_craps|   0|    200000|     100|0.46203453|  PASSED  
       diehard_craps|   0|    200000|     100|0.63213456|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.55906475|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.80988673|  PASSED  
         sts_monobit|   1|    100000|     100|0.51654501|  PASSED  
            sts_runs|   2|    100000|     100|0.03256623|  PASSED  
          sts_serial|   1|    100000|     100|0.88302701|  PASSED  
          sts_serial|   2|    100000|     100|0.60043941|  PASSED  
          sts_serial|   3|    100000|     100|0.87725036|  PASSED  
          sts_serial|   3|    100000|     100|0.00856956|  PASSED  
          sts_serial|   4|    100000|     100|0.98331305|  PASSED  
          sts_serial|   4|    100000|     100|0.75945101|  PASSED  
          sts_serial|   5|    100000|     100|0.82689777|  PASSED  
          sts_serial|   5|    100000|     100|0.95051165|  PASSED  
          sts_serial|   6|    100000|     100|0.38320215|  PASSED  
          sts_serial|   6|    100000|     100|0.47589633|  PASSED  
          sts_serial|   7|    100000|     100|0.18387012|  PASSED  
          sts_serial|   7|    100000|     100|0.00767078|  PASSED  
          sts_serial|   8|    100000|     100|0.76973881|  PASSED  
          sts_serial|   8|    100000|     100|0.00259698|   WEAK   
          sts_serial|   9|    100000|     100|0.22648086|  PASSED  
          sts_serial|   9|    100000|     100|0.62586889|  PASSED  
          sts_serial|  10|    100000|     100|0.72593183|  PASSED  
          sts_serial|  10|    100000|     100|0.36640439|  PASSED  
          sts_serial|  11|    100000|     100|0.51588937|  PASSED  
          sts_serial|  11|    100000|     100|0.86939260|  PASSED  
          sts_serial|  12|    100000|     100|0.55860145|  PASSED  
